created_at	name	screen_name	description	lang	location	verified	status_lang	status_text	time_zone	contributors_enabled	default_profile	default_profile_image	favourites_count	follow_request_sent	followers_count	following	friends_count	geo_enabled	has_extended_profile	id_str	is_translation_enabled	is_translator	listed_count	notifications	profile_background_color	profile_background_image_url	profile_background_tile	profile_banner_url	profile_image_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color	profile_use_background_image	protected	status_contributors	status_coordinates	status_created_at	status_favorite_count	status_favorited	status_geo	status_id_str	status_in_reply_to_screen_name	status_in_reply_to_status_id_str	status_in_reply_to_user_id_str	status_is_quote_status	status_latitude	status_longitude	status_place	status_possibly_sensitive	status_retweet_count	status_retweeted	status_source	status_truncated	statuses_count	url	utc_offset	account_type
Tue Mar 13 15:01:13 +0000 2012	Sheffield Andre	sohlesheffield	IM and also into property developig, Reiki and world peace!!	en	Rhu, Helensburgh, Scotland	False	en	Innovative software for marketers! http://t.co/3xKu6ijv		False	True	False	0	False	0	False	28	False	False	523342964	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False		http://pbs.twimg.com/profile_images/1895199159/1553047697_normal.jpg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Wed Mar 14 00:15:01 +0000 2012	0.0	False		179722263967449089				False				False	0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	1			1
Wed Oct 02 14:45:37 +0000 2013	LarryStylinson	Directioner16O	We are all larry.	it		False	pt	@zaynmalik pesc		False	True	False	173	False	135	False	451	False	False	1927101872	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/1927101872/1419150284	http://pbs.twimg.com/profile_images/546582026221264897/vJL7RzAJ_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Fri Sep 18 18:43:37 +0000 2015	0.0	False		644944882839199744	zaynmalik		176566242.0	False					0.0	False	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	3157			1
Wed Jun 11 22:30:01 +0000 2014	Tiffany	tiffany14367892	Hi im tiffany i love the magcon boys . I wish they all could follow me . I hope i could meet then one day .❤️	en		False	en	RT @jacobs_a_babe: “@Dallassayyee: Quote with what type of girl you are http://t.co/wtRtF2tzxF”🐱🐼		False	True	False	56	False	54	False	202	False	False	2562196472	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2562196472/1403751395	http://pbs.twimg.com/profile_images/476862781191245825/oSP947bc_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Fri Jul 04 05:26:25 +0000 2014	0.0	False		484931214600450048				False				False	1.0	False	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	74			1
Sat Nov 26 13:14:51 +0000 2011	Michaela Ware	michaela_ware	Mom, English teacher, NBCT, and half marathon finisher!	en	Rhode Island	False	en	RT @FosterGrantUSA: If you entered our @KatGraham #TeenChoiceAwards contest on IG, check your DM's! All winners have been DM'd. We thank yo…		False	False	False	105	False	427	False	578	True	False	421845303	False	False	10	False	F0FAF1	http://abs.twimg.com/images/themes/theme18/bg.gif	False		http://pbs.twimg.com/profile_images/378800000564227585/96129b1054c788f3207cfd9f496476ce_normal.jpeg	038543	C0DEED	DDEEF6	333333	True	False		False	Sun Jul 31 23:58:40 +0000 2016	0.0	False		759901122429591552				False					6.0	False	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	994			1
Thu Feb 03 23:24:39 +0000 2011	C.S.P MONEY GRIND	SMAINE1024	IM ME ALL DAY 24/7 NO MATTER WHAT!!!!!! C. .S. .P	en	USA	False	en	I added a video to a @YouTube playlist https://t.co/uc6qjUzpRj Yo Gotti - Wait For It Feat. Blac Youngsta	Central Time (US & Canada)	False	False	False	1	False	44	False	150	True	False	247031721	False	False	0	False	1A1B1F	http://pbs.twimg.com/profile_background_images/363411027/image	True		http://pbs.twimg.com/profile_images/1634917499/C.S.P_MONEYGRIND_ALL_NEW_MUZIK_COMING_SOON_LIKE_ME_ON_FACEBOOKSLAUGHTER_MAINE__FOLLOW_ME_ON_TWITTER__SMAINE1024___CHECK_OUT_THE_YOUTUBE_CHANNEL_MY123ZONE_subscribe_now__normal.jpg	2FC2EF	181A1E	252429	666666	True	False		False	Mon Jul 11 21:18:13 +0000 2016	0.0	False		752612988088119296				False				False	0.0	False	"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>"	False	1102		-18000.0	1
Mon Jun 07 07:52:14 +0000 2010	April Vanzuela	April_Sofy	Filipina, Art enthusiasts, Nature addict, Pastel colors, Old soul	en		False	en	Free printable uppercase alphabet activity booklets - great for homework! http://t.co/gwEDTjiW		False	False	False	0	False	1	False	9	False	False	152940283	False	False	0	False	FFF04D	http://abs.twimg.com/images/themes/theme19/bg.gif	False		http://pbs.twimg.com/profile_images/1521893986/T_normal.jpg	0099CC	FFF8AD	F6FFD1	333333	True	False		False	Tue Mar 13 06:06:42 +0000 2012	0.0	False		179448379716284416				False				False	0.0	False	"<a href=""http://www.transactsocially.com"" rel=""nofollow"">TransactSocially</a>"	False	9			1
Sun Oct 05 05:48:01 +0000 2014	Lil K ☮	machine_gunnn	i'm as cool as the other side of the pillow.	en	St.Johns, NL	False	en	music, high &amp; family. #blessed happy sunday!	Newfoundland	False	False	False	1323	False	189	False	1204	False	False	2806844795	False	False	4	False	000000	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2806844795/1412648311	http://pbs.twimg.com/profile_images/561781925203816448/x_eGR1qf_normal.jpeg	4A913C	000000	000000	000000	False	False		False	Sun Feb 01 23:44:58 +0000 2015	54.0	False		562033901418594305				False					0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	225		-9000.0	1
Thu Sep 18 02:18:48 +0000 2014	Ryan Metherell	RyanMetherell	The Incredible.	en	Melboure, Australia	False	en	@craighutchy - Just heard you say to Chris Judd who the hell he thinks he is ? He is CHRIS JUDD ! Hutchy, who the hell do you think you are?		False	False	False	0	False	9	False	42	False	False	2816127302	False	False	0	False	000000	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2816127302/1411008179	http://pbs.twimg.com/profile_images/512429014426718208/667kaHuo_normal.jpeg	4A913C	000000	000000	000000	False	False		False	Mon Jun 20 12:54:46 +0000 2016	4.0	False		744876142696357888	craighutchy		85565389.0	False					0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	2			1
Sat Aug 03 04:00:48 +0000 2013	janise burde	janiseburdejama	2009 SBA National Journalist of Year, aka TechnoGranny, publisher, internet radio host, Web 2.0 Gori	en	in the moment, ca, usa	False	und	http://t.co/cBblD2TobD		False	True	False	0	False	7	False	8	False	False	1641956688	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/1641956688/1377679855	http://pbs.twimg.com/profile_images/378800000373712554/b7cbdcd25e0de54421da1033734b4ade_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Fri Sep 13 16:59:07 +0000 2013	0.0	False		378563504375988224				False				False	0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	15			1
Thu Oct 23 20:20:58 +0000 2014	Kari Sweet Hale	_Cupcake_Kari_	Hi i'm Kari my dad is Derek Hale and my uncle is Peter. I'm rebellious, sexy, sweet, and feisty. (RP; Single)	en	Beacon Hills	False	und	http://t.co/sBJ6JGkW3w		False	True	False	4	False	144	False	198	False	False	2874002425	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2874002425/1414095817	http://pbs.twimg.com/profile_images/525396906181394432/pFvaOuCu_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Sun Oct 26 23:42:28 +0000 2014	2.0	False		526519257950326784				False				False	2.0	False	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	5			1
Sun May 17 15:51:04 +0000 2015	Buffalo Bob	bob_tripi	Sugarloaf, Maine Ski & Snowboard School, Supervisor Adult Ski & Snowboard Program, Alpine Level III, Children's Specialist I.	en	Kingfield, Maine	False	en	Me and my little friend having a quiet breakfast on a Portland hotel patio... https://t.co/hlPXAXwMWf		False	True	False	14	False	15	False	19	False	False	3278357961	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False		http://pbs.twimg.com/profile_images/714198364473192448/Alxx7aJp_normal.jpg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Wed Jul 06 12:02:49 +0000 2016	1.0	False		750661274531401728				False				False	0.0	False	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	17			1
Sat Dec 03 22:30:21 +0000 2011	neara Couluby ♠	WhiteLili_wolf	Human | Demon tendency's | Ninja | I'm a ticking time bomb | beer & sleeping | age 20 | sweet death is my friend | I lost everything | all styles of rp	en	living astray 	False	en	// I'll be gone for a while. I thought I'd be able to swing RPing again with my schedule, but it just isn't working out. Sorry.  Sayōnara ~	Central Time (US & Canada)	False	False	False	151	False	364	False	807	False	False	427738688	False	False	3	False	BADFCD	http://abs.twimg.com/images/themes/theme12/bg.gif	False	https://pbs.twimg.com/profile_banners/427738688/1425744342	http://pbs.twimg.com/profile_images/500159009156898816/vl7yugJh_normal.jpeg	0F0E2E	FFFFFF	FFF7CC	0C3E53	True	False		False	Mon Mar 23 07:24:27 +0000 2015	0.0	False		579906539957268480				False					0.0	False	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	7363		-18000.0	1
Sat Mar 01 06:21:19 +0000 2014	Xto fer	Itsmexto	Love me or hate me I'm still gonna shine	en	Cebu city	False	en	@doyzkie happy birthday :)		False	True	False	5	False	8	False	20	False	False	2366626812	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2366626812/1393655288	http://pbs.twimg.com/profile_images/439648302552723457/7nGQ2QFc_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Wed Apr 02 22:50:58 +0000 2014	0.0	False		451492012806529024	doyzkie		62188901.0	False					0.0	False	"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"	False	26			1
Thu Jul 03 14:33:33 +0000 2014	น้องซึงทะลุนอกโลก	Jang4D_04	เอาไว้เทรน ไม่ต้องฟอลค่ะ Don't Follow Me. It's Not My Main Account. I Created This Account For Retweets, Trend and Support BEAST.	th		False	th	บายครัชหลุมทั้งหลาย #TeamBEAST		False	True	False	0	False	1	False	0	False	False	2601743562	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False		http://pbs.twimg.com/profile_images/485765024028192768/Ckp0-PpL_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Sun Jan 03 14:49:03 +0000 2016	0.0	False		683661356587847681				False					0.0	False	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	False	9318			1
Sat Oct 26 14:29:11 +0000 2013	fazira	fs_fazira	-a girl that everyone will forget-	en		False	en	"RT @sayyidah_umai: ""Don't stay in a haraam relationship with the intention to make it halal one day. 👫  Who promise you tomorrow?"" 🤔  -Dr.B…"	Kuala Lumpur	False	False	False	1808	False	267	False	245	True	True	2156958288	False	False	1	False	FF6699	http://pbs.twimg.com/profile_background_images/655697147237498880/CL9LpTXC.jpg	True	https://pbs.twimg.com/profile_banners/2156958288/1399952685	http://pbs.twimg.com/profile_images/767248226210590720/LQtz1mnD_normal.jpg	B40B43	000000	000000	000000	True	False		False	Mon Aug 22 14:27:41 +0000 2016	0.0	False		767729963202064385				False					1717.0	False	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	6506		28800.0	1
Fri Jul 05 15:37:26 +0000 2013	Àÿøùb MësSïõüN	AyouMessioun	What a beautiful childhood days ... # Hit # child ... the teacher tells her pussy #	fr	Etats-Unis	False	und	https://t.co/RPofEnjtoP	Paris	False	False	False	64	False	39	False	400	True	False	1570743060	False	False	0	False	000000	http://abs.twimg.com/images/themes/theme14/bg.gif	False	https://pbs.twimg.com/profile_banners/1570743060/1466898127	http://pbs.twimg.com/profile_images/746851290198740992/GGNT0GB8_normal.jpg	DD2E44	000000	000000	000000	False	False		False	Sun Jul 31 14:14:19 +0000 2016	4.0	False		759754066905923584				False				False	0.0	False	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	23		7200.0	1
Tue Sep 02 10:33:02 +0000 2014	Cummings Tressie	CummingsTressie	Eight The attack had come so suddenly and so viciously that Rohrke had not been able to defend himself.	en		False	en	I really wish I could wear a fanny pack. I know I literally could but we all know better than that		False	True	False	0	False	0	False	4	False	False	2759188905	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2759188905/1409654093	http://pbs.twimg.com/profile_images/506752089666879488/UiRoosjq_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Tue Sep 02 10:34:26 +0000 2014	0.0	False		506751998151385088				False					0.0	False	"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"	False	3			1
Fri Dec 04 01:01:11 +0000 2009	Mario Heras	mariowearsprada	''Music is my passion ''	en		False	en	20 minutes Under arrest so i post it on Instagram                                 #punk http://t.co/rVk6ti7wdF	Pacific Time (US & Canada)	False	False	False	3	False	51	False	83	True	False	94455676	False	False	0	False	022330	http://pbs.twimg.com/profile_background_images/681734265/594a77e4c97be1526126a84f9d894b2f.jpeg	True	https://pbs.twimg.com/profile_banners/94455676/1349923794	http://pbs.twimg.com/profile_images/378800000554452671/4746d0ddc5175cffe6784b20d0ebc429_normal.jpeg	0084B4	FFFFFF	C0DFEC	333333	True	False		False	Sun Dec 01 20:35:50 +0000 2013	4.0	False		407246683651977216				False				False	0.0	False	"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"	False	383		-25200.0	1
Sun Jul 21 20:28:43 +0000 2013	Mary Franco	MaryFranco1234	Call me crazy Call me Call me bonkers unbalanced But I'm in love with   Jesus.	pt	Ipatinga MG	False	pt	@lr0nic segui		False	False	False	5	False	18	False	76	False	False	1611306470	False	False	1	False	000000	http://pbs.twimg.com/profile_background_images/378800000029724567/ed690210905c017d66f983ebc489d8a4.jpeg	True	https://pbs.twimg.com/profile_banners/1611306470/1381188869	http://pbs.twimg.com/profile_images/378800000564593181/1d289e17a2fde5f9ddddd15285ae4f04_normal.jpeg	000000	FFFFFF	000000	000000	True	False		False	Thu Oct 17 18:16:13 +0000 2013	0.0	False		390904093633294336	ConectRadioBr	3.9090338009e+17	580277450.0	False					0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	116	https://t.co/o3iM3nhxUm		1
Fri Sep 11 01:06:02 +0000 2015	SHIBASE.	GDVBASE	A TEAM! JWW. KMG. KWJ. KSG. mention for that good good.	en		False	und	UV. / @JHWAGDV	Pacific Time (US & Canada)	False	False	False	4	False	13	False	22	False	False	3615139401	False	False	1	False	000000	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/3615139401/1443487177	http://pbs.twimg.com/profile_images/648658273177051136/2jg1P0RZ_normal.png	000000	000000	000000	000000	False	False		False	Thu Oct 08 10:55:10 +0000 2015	1.0	False		652074750735421440				False					0.0	False	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	101	http://t.co/BXy3jKuwt9	-25200.0	3
